,chemical_symbol,atomic_weight,atomic_number,orbitals_energy,atomic_radius,atomic_radius_empirical,boiling_point,hardness_brinell,bulk_modulus,coefficient_linear_thermal_expansion,common_oxidation_states,critical_temperature,density_solid_phase,electrical_resistivity,electron_configuration,ionic_radius,liquid_range,melting_point,mendeleev_number,hardness_mineral,molar_volume,chemical_name,oxidation_states,poisson_ratio,reflectivity,refractive_index,shear_modulus,atomic_radius_shannon,superconduction_temperature,thermal_conductivity,vdw_radius,sound_velocity,hardness_vickers,electronegativity_pauling,youngs_modulus,metallic_radius,iupac_ordering,ionization_energy,electron_affinity,ICSD_oxidation_states,NMR_quadrupole_moment
0,H,1.00794,1,{'1s': -0.23347099999999998},0.25,0.53,20.28 ,,,,"[-1, 1]",33 ,,,1s<sup>1</sup>,,6.27 ,14.01 ,103.0,,11.42 ,Hydrogen,"[-1, 1]",,,1.000132 (gas; liquid 1.12)(no units),,"{'1': {'I': {'': {'crystal_radius': -0.24, 'ionic_radius': -0.38}}, 'II': {'': {'crystal_radius': -0.04, 'ionic_radius': -0.18}}}}",,0.1805 ,1.1,1270 ,,2.2,,,92.0,[13.598434599702],0.754598,"[1, -1]",{'H-2': 2.86}
1,He,4.002602,2,{'1s': -0.570425},,0.31,4.22 ,,,,,5.19 ,,,1s<sup>2</sup>,,3.27 ,0.95 ,1.0,,21.0 ,Helium,,,,1.000035 (gas; liquid 1.028)(no units),,,,0.1513 ,1.4,970 ,,,,,5.0,"[24.587389011, 54.417765486]",-0.52,,
2,Li,6.941,3,"{'1s': -1.878564, '2s': -0.10554000000000001}",1.45,1.67,1615 ,,11 ,46 ,[1],3223 ,535 ,9.5 ,[He].2s<sup>1</sup>,{'1': 0.9},1161.31 ,453.69 ,12.0,0.6,13.02 ,Lithium,[1],,,,4.2 ,"{'1': {'IV': {'': {'crystal_radius': 0.73, 'ionic_radius': 0.59}}, 'VI': {'': {'crystal_radius': 0.9, 'ionic_radius': 0.76}}, 'VIII': {'': {'crystal_radius': 1.06, 'ionic_radius': 0.92}}}}",,85 ,1.82,6000 ,,0.98,4.9 ,1.52,11.0,"[5.391714996, 75.640097, 122.45435914]",0.6180492200000001,[1],"{'Li-6': -0.808, 'Li-7': -40.1}"
3,Be,9.012182,4,"{'1s': -3.856411, '2s': -0.20574399999999998}",1.05,1.12,2742 ,600 ,130 ,11.3 ,[2],,1848 ,3.8 ,[He].2s<sup>2</sup>,{'2': 0.59},1182 ,1560 ,77.0,5.5,4.85 ,Beryllium,[2],0.032,,,132 ,"{'2': {'III': {'': {'crystal_radius': 0.30000000000000004, 'ionic_radius': 0.16}}, 'IV': {'': {'crystal_radius': 0.41000000000000003, 'ionic_radius': 0.27}}, 'VI': {'': {'crystal_radius': 0.59, 'ionic_radius': 0.45}}}}",0.026 ,190 ,1.53,13000 ,1670,1.57,287 ,1.12,17.0,"[9.322699, 18.21115, 153.896205, 217.7185861]",-0.52,[2],{'Be-9': 52.88}
4,B,10.811,5,"{'1s': -6.564347, '2p': -0.136603, '2s': -0.344701}",0.85,0.87,4200 ,,320 ,6 ,[3],,2460 ,&gt; 10<sup>12</sup>,[He].2s<sup>2</sup>.2p<sup>1</sup>,{'3': 0.41000000000000003},1851 ,2349 ,86.0,9.3,4.39 ,Boron,"[1, 2, 3]",,,,,"{'3': {'III': {'': {'crystal_radius': 0.15, 'ionic_radius': 0.01}}, 'IV': {'': {'crystal_radius': 0.25, 'ionic_radius': 0.11}}, 'VI': {'': {'crystal_radius': 0.41000000000000003, 'ionic_radius': 0.27}}}}",,27 ,1.92,16200 ,49000,2.04,,,81.0,"[8.298019, 25.15483, 37.93059, 259.3715, 340.2260229]",0.27972325,"[3, -3]","{'B-10': 84.59, 'B-11': 40.59}"
5,C,12.0107,6,"{'1s': -9.947718, '2p': -0.199186, '2s': -0.5008659999999999}",0.7000000000000001,0.67,4300 ,,33 ,7.1 ,"[-4, 4]",,2267 ,about 1000 - direction dependent,[He].2s<sup>2</sup>.2p<sup>2</sup>,{'4': 0.30000000000000004},500 ,3800 ,95.0,0.5 (graphite; diamond is 10.0)(no units),5.29 ,Carbon,"[-4, -3, -2, -1, 1, 2, 3, 4]",,27 ,2.417 (diamond)(no units),,"{'4': {'III': {'': {'crystal_radius': 0.06, 'ionic_radius': -0.08}}, 'IV': {'': {'crystal_radius': 0.29, 'ionic_radius': 0.15}}, 'VI': {'': {'crystal_radius': 0.30000000000000004, 'ionic_radius': 0.16}}}}",,140 ,1.7000000000000002,18350 ,,2.55,,,86.0,"[11.260288, 24.383154, 47.88778, 64.49352, 392.090518, 489.993198]",1.262113612,"[2, 3, 4, -4, -3, -2]",{'C-11': 33.27}
6,N,14.0067,7,"{'1s': -14.011501, '2p': -0.266297, '2s': -0.676151}",0.65,0.56,77.36 ,,,,"[-3, 3, 5]",126.2 ,,,[He].2s<sup>2</sup>.2p<sup>3</sup>,"{'-3': 1.32, '3': 0.30000000000000004, '5': 0.27}",14.31 ,63.05 ,100.0,,13.54 ,Nitrogen,"[-3, -2, -1, 1, 2, 3, 4, 5]",,,1.000298 (gas; liquid 1.197)(no units),,"{'-3': {'IV': {'': {'crystal_radius': 1.32, 'ionic_radius': 1.46}}}, '3': {'VI': {'': {'crystal_radius': 0.30000000000000004, 'ionic_radius': 0.16}}}, '5': {'III': {'': {'crystal_radius': 0.044, 'ionic_radius': -0.10400000000000001}}, 'VI': {'': {'crystal_radius': 0.27, 'ionic_radius': 0.13}}}}",,0.02583 ,1.55,333.6 ,,3.04,,,91.0,"[14.53413, 29.60125, 47.4453, 77.4735, 97.8901, 552.06733, 667.046121]",-0.07,"[1, 3, 5, -1, -3, -2]",{'N-14': 20.44}
7,O,15.9994,8,"{'1s': -18.758245, '2p': -0.338381, '2s': -0.871362}",0.6000000000000001,0.48,90.2 ,,,,[-2],154.6 ,,,[He].2s<sup>2</sup>.2p<sup>4</sup>,{'-2': 1.26},35.4 ,54.8 ,101.0,,17.36 ,Oxygen,"[-2, -1, 1, 2]",,,1.000271 (gas; liquid 1.221)(no units),,"{'-2': {'II': {'': {'crystal_radius': 1.21, 'ionic_radius': 1.35}}, 'III': {'': {'crystal_radius': 1.22, 'ionic_radius': 1.3599999999999999}}, 'IV': {'': {'crystal_radius': 1.24, 'ionic_radius': 1.38}}, 'VI': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.4}}, 'VIII': {'': {'crystal_radius': 1.28, 'ionic_radius': 1.42}}}}",,0.02658 ,1.52,317.5 ,,3.44,,,97.0,"[13.618055, 35.12112, 54.93554, 77.4135, 113.899, 138.1189, 739.32683, 871.409883]",1.4611053,[-2],{'O-17': -25.58}
8,F,18.9984032,9,"{'1s': -24.189391, '2p': -0.415606, '2s': -1.086859}",0.5,0.42,85.03 ,,,,[-1],144 ,,,[He].2s<sup>2</sup>.2p<sup>5</sup>,"{'-1': 1.19, '7': 0.22}",31.5 ,53.53 ,102.0,,11.20 ,Fluorine,[-1],,,1.000195,,"{'-1': {'II': {'': {'crystal_radius': 1.145, 'ionic_radius': 1.2850000000000001}}, 'III': {'': {'crystal_radius': 1.16, 'ionic_radius': 1.3}}, 'IV': {'': {'crystal_radius': 1.17, 'ionic_radius': 1.31}}, 'VI': {'': {'crystal_radius': 1.19, 'ionic_radius': 1.33}}}, '7': {'VI': {'': {'crystal_radius': 0.22, 'ionic_radius': 0.08}}}}",,0.0277 ,1.47,,,3.98,,,102.0,"[17.42282, 34.97081, 62.70798, 87.175, 114.249, 157.16311, 185.1868, 953.89805, 1103.11748]",3.4011898240000003,[-1],{'F-19': -94.2}
9,Ne,20.1797,10,"{'1s': -30.305855, '2p': -0.498034, '2s': -1.322809}",,0.38,27.07 ,,,,,44.4 ,,,[He].2s<sup>2</sup>.2p<sup>6</sup>,,2.51 ,24.56 ,2.0,,13.23 ,Neon,,,,1.000067,,,,0.0491 ,1.54,936 ,,,,,4.0,"[21.564541, 40.96297, 63.4233, 97.19, 126.247, 157.934, 207.271, 239.097, 1195.80784, 1362.19916]",-1.22,,{'Ne-21': 101.55}
10,Na,22.98976928,11,"{'1s': -37.719975, '2p': -1.060636, '2s': -2.063401, '3s': -0.10341499999999999}",1.8,1.9,1156 ,0.69 ,6.3 ,71 ,[1],2573 ,968 ,4.9 ,[Ne].3s<sup>1</sup>,{'1': 1.16},785.13 ,370.87 ,11.0,0.5,23.78 ,Sodium,"[-1, 1]",,,,3.3 ,"{'1': {'IV': {'': {'crystal_radius': 1.13, 'ionic_radius': 0.99}}, 'V': {'': {'crystal_radius': 1.1400000000000001, 'ionic_radius': 1.0}}, 'VI': {'': {'crystal_radius': 1.16, 'ionic_radius': 1.02}}, 'VII': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.12}}, 'VIII': {'': {'crystal_radius': 1.32, 'ionic_radius': 1.18}}, 'IX': {'': {'crystal_radius': 1.38, 'ionic_radius': 1.24}}, 'XII': {'': {'crystal_radius': 1.53, 'ionic_radius': 1.3900000000000001}}}}",,140 ,2.27,3200 ,,0.93,10 ,1.8599999999999999,10.0,"[5.13907696, 47.28636, 71.62, 98.936, 138.404, 172.23, 208.504, 264.192, 299.856, 1465.134502, 1648.7022]",0.5479262500000001,[1],{'Na-23': 104.1}
11,Mg,24.305,12,"{'1s': -45.973167, '2p': -1.71897, '2s': -2.903746, '3s': -0.175427}",1.5,1.45,1363 ,260 ,45 ,8.2 ,[2],,1738 ,4.4 ,[Ne].3s<sup>2</sup>,{'2': 0.86},440 ,923 ,73.0,2.5,14.00 ,Magnesium,"[1, 2]",0.29,74 ,,17 ,"{'2': {'IV': {'': {'crystal_radius': 0.71, 'ionic_radius': 0.5700000000000001}}, 'V': {'': {'crystal_radius': 0.8, 'ionic_radius': 0.66}}, 'VI': {'': {'crystal_radius': 0.86, 'ionic_radius': 0.72}}, 'VIII': {'': {'crystal_radius': 1.03, 'ionic_radius': 0.89}}}}",,160 ,1.73,4602 ,,1.31,45 ,1.6,16.0,"[7.646236, 15.035271, 80.1436, 109.2654, 141.33, 186.76, 225.02, 265.924, 327.99, 367.489, 1761.80488, 1962.66366]",-0.42,[2],{'Mg-25': 199.4}
12,Al,26.9815386,13,"{'1s': -55.156044, '2p': -2.564018, '2s': -3.934827, '3p': -0.102545, '3s': -0.286883}",1.25,1.18,2792 ,245 ,76 ,23.1 ,[3],,2700 ,2.7 ,[Ne].3s<sup>2</sup>.3p<sup>1</sup>,{'3': 0.675},1858.53 ,933.47 ,80.0,2.75,10.00 ,Aluminum,"[1, 3]",0.35,71 ,,26 ,"{'3': {'IV': {'': {'crystal_radius': 0.53, 'ionic_radius': 0.39}}, 'V': {'': {'crystal_radius': 0.62, 'ionic_radius': 0.48}}, 'VI': {'': {'crystal_radius': 0.675, 'ionic_radius': 0.535}}}}",1.175 ,235 ,1.8399999999999999,5100 ,167,1.61,70 ,1.43,80.0,"[5.985769, 18.82855, 28.447642, 119.9924, 153.8252, 190.49, 241.76, 284.64, 330.21, 398.65, 442.005, 2085.97702, 2304.14007]",0.4328349999999999,[3],{'Al-27': 146.6}
13,Si,28.0855,14,"{'1s': -65.184426, '2p': -3.514938, '2s': -5.075056, '3p': -0.15329299999999998, '3s': -0.39813899999999997}",1.1,1.11,3173 ,,100 ,2.6 ,"[-4, 4]",,2330 ,about 100000 ,[Ne].3s<sup>2</sup>.3p<sup>2</sup>,{'4': 0.54},1486 ,1687 ,85.0,6.5,12.06 ,Silicon,"[-4, -3, -2, -1, 1, 2, 3, 4]",,28 ,,,"{'4': {'IV': {'': {'crystal_radius': 0.4, 'ionic_radius': 0.26}}, 'VI': {'': {'crystal_radius': 0.54, 'ionic_radius': 0.4}}}}",,150 ,2.1,2200 ,,1.9,47 ,,85.0,"[8.15168, 16.34585, 33.493, 45.14179, 166.767, 205.279, 246.57, 303.59, 351.28, 401.38, 476.273, 523.415, 2437.65815, 2673.17755]",1.38952128,"[-4, 4]",
14,P,30.973762,15,"{'1s': -76.061897, '2p': -4.576617, '2s': -6.329346, '3p': -0.20608, '3s': -0.5123639999999999}",1.0,0.98,550 ,,11 ,,"[-3, 3, 5]",994 ,1823 ,about 10 ,[Ne].3s<sup>2</sup>.3p<sup>3</sup>,"{'3': 0.58, '5': 0.52}",232.7 , 317.3 ,90.0,,17.02 ,Phosphorus,"[-3, -2, -1, 1, 2, 3, 4, 5]",,,1.001212,,"{'3': {'VI': {'': {'crystal_radius': 0.58, 'ionic_radius': 0.44}}}, '5': {'IV': {'': {'crystal_radius': 0.31, 'ionic_radius': 0.17}}, 'V': {'': {'crystal_radius': 0.43, 'ionic_radius': 0.29}}, 'VI': {'': {'crystal_radius': 0.52, 'ionic_radius': 0.38}}}}",,0.236 ,1.8,,,2.19,,,90.0,"[10.486686, 19.76949, 30.20264, 51.44387, 65.02511, 220.43, 263.57, 309.6, 372.31, 424.4, 479.44, 560.62, 611.741, 2816.90879, 3069.8416]",0.7466071,"[3, 4, 5, -2, -3, -1]",
15,S,32.065,16,"{'1s': -87.789937, '2p': -5.751257, '2s': -7.69994, '3p': -0.26167599999999996, '3s': -0.6309119999999999}",1.0,0.88,717.87 ,,7.7 ,,"[-2, 2, 4, 6]",1314 ,1960 ,&gt; 10<sup>23</sup>,[Ne].3s<sup>2</sup>.3p<sup>4</sup>,"{'-2': 1.7000000000000002, '4': 0.51, '6': 0.43}",329.51 ,388.36 ,94.0,2.0,15.53 ,Sulfur,"[-2, -1, 1, 2, 3, 4, 5, 6]",,,1.001111,,"{'-2': {'VI': {'': {'crystal_radius': 1.7000000000000002, 'ionic_radius': 1.8399999999999999}}}, '4': {'VI': {'': {'crystal_radius': 0.51, 'ionic_radius': 0.37}}}, '6': {'IV': {'': {'crystal_radius': 0.26, 'ionic_radius': 0.12}}, 'VI': {'': {'crystal_radius': 0.43, 'ionic_radius': 0.29}}}}",,0.205 ,1.8,,,2.58,,,96.0,"[10.36001, 23.33788, 34.86, 47.222, 72.5945, 88.0529, 280.954, 328.794, 379.84, 447.7, 504.55, 564.41, 651.96, 706.994, 3223.7807, 3494.1879]",2.077104512,"[-1, 2, 4, -2, 6]","{'S-33': -67.8, 'S-35': 47.1}"
16,Cl,35.453,17,"{'1s': -100.369229, '2p': -7.039982, '2s': -9.187993, '3p': -0.32038000000000005, '3s': -0.754458}",1.0,0.79,239.11 ,,1.1 ,,"[-1, 1, 3, 5, 7]",417 ,,&gt; 10<sup>10</sup>,[Ne].3s<sup>2</sup>.3p<sup>5</sup>,"{'-1': 1.67, '5': 0.26, '7': 0.41000000000000003}",67.51 ,171.6 ,99.0,,17.39 ,Chlorine,"[-1, 1, 2, 3, 4, 5, 6, 7]",,,1.000773,,"{'-1': {'VI': {'': {'crystal_radius': 1.67, 'ionic_radius': 1.81}}}, '5': {'IIIPY': {'': {'crystal_radius': 0.26, 'ionic_radius': 0.12}}}, '7': {'IV': {'': {'crystal_radius': 0.22, 'ionic_radius': 0.08}}, 'VI': {'': {'crystal_radius': 0.41000000000000003, 'ionic_radius': 0.27}}}}",,0.0089 ,1.75,206 ,,3.16,,,101.0,"[12.967633, 23.81364, 39.8, 53.24, 67.68, 96.94, 114.2013, 348.306, 400.851, 456.7, 530.0, 591.58, 656.3, 750.23, 809.198, 3658.3438, 3946.2909]",3.61272528,[-1],"{'Cl-35': -81.65, 'Cl-37': -64.35}"
17,Ar,39.948,18,"{'1s': -113.800134, '2p': -8.443439, '2s': -10.794172, '3p': -0.38233000000000006, '3s': -0.883384}",0.71,0.71,87.3 ,,,,,150.8 ,,,[Ne].3s<sup>2</sup>.3p<sup>6</sup>,,3.5 ,83.8 ,3.0,,22.56 ,Argon,,,,1.000281,,,,0.01772 ,1.88,319 ,,,,,3.0,"[15.7596119, 27.62967, 40.735, 59.58, 74.84, 91.29, 124.41, 143.4567, 422.6, 479.76, 540.4, 619.0, 685.5, 755.13, 855.5, 918.375, 4120.6657, 4426.2229]",-1.02,,
18,K,39.0983,19,"{'1s': -128.414957, '2p': -10.283851, '2s': -12.839001, '3p': -0.693776, '3s': -1.281897, '4s': -0.08881499999999999}",2.2,2.43,1032 ,0.363 ,3.1 ,,[1],2223 ,856 ,7.5 ,[Ar].4s<sup>1</sup>,{'1': 1.52},695.47 ,336.53 ,10.0,0.4,45.94 ,Potassium,"[-1, 1]",,,,1.3 ,"{'1': {'IV': {'': {'crystal_radius': 1.51, 'ionic_radius': 1.37}}, 'VI': {'': {'crystal_radius': 1.52, 'ionic_radius': 1.38}}, 'VII': {'': {'crystal_radius': 1.6, 'ionic_radius': 1.46}}, 'VIII': {'': {'crystal_radius': 1.65, 'ionic_radius': 1.51}}, 'IX': {'': {'crystal_radius': 1.69, 'ionic_radius': 1.55}}, 'X': {'': {'crystal_radius': 1.73, 'ionic_radius': 1.5899999999999999}}, 'XII': {'': {'crystal_radius': 1.78, 'ionic_radius': 1.6400000000000001}}}}",,100 ,2.75,2000 ,,0.8200000000000001,,2.3810000000000002,9.0,"[4.34066373, 31.625, 45.8031, 60.917, 82.66, 99.44, 117.56, 154.87, 175.8174, 503.67, 565.6, 631.1, 714.7, 786.3, 860.92, 967.7, 1034.542, 4610.87018, 4934.0484]",0.50145913,[1],"{'K-39': 58.5, 'K-40': -73.0, 'K-41': 71.1}"
19,Ca,40.078,20,"{'1s': -143.935181, '2p': -12.285376, '2s': -15.046905, '3p': -1.030572, '3s': -1.706331, '4s': -0.14141099999999998}",1.8,1.94,1757 ,167 ,17 ,22.3 ,[2],,1550 ,3.4 ,[Ar].4s<sup>2</sup>,{'2': 1.1400000000000001},642 ,1115 ,16.0,1.75,26.20 ,Calcium,[2],0.31,,,7.4 ,"{'2': {'VI': {'': {'crystal_radius': 1.1400000000000001, 'ionic_radius': 1.0}}, 'VII': {'': {'crystal_radius': 1.2, 'ionic_radius': 1.06}}, 'VIII': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.12}}, 'IX': {'': {'crystal_radius': 1.32, 'ionic_radius': 1.18}}, 'X': {'': {'crystal_radius': 1.37, 'ionic_radius': 1.23}}, 'XII': {'': {'crystal_radius': 1.48, 'ionic_radius': 1.34}}}}",,200 ,2.31,3810 ,,1.0,20 ,1.976,15.0,"[6.11315547, 11.871719, 50.91316, 67.2732, 84.34, 108.78, 127.21, 147.24, 188.54, 211.275, 591.6, 658.2, 728.6, 817.2, 894.0, 973.7, 1086.8, 1157.726, 5128.8578, 5469.8616]",0.024551,[2],"{'Ca-41': -66.5, 'Ca-43': -40.8}"
20,Sc,44.955912,21,"{'1s': -160.184109, '2p': -14.240006, '2s': -17.206464, '3d': -0.13108, '3p': -1.233165, '3s': -1.988378, '4s': -0.156478}",1.6,1.8399999999999999,3103 ,750 ,57 ,10.2 ,[3],,2985 ,about 55 ,[Ar].3d<sup>1</sup>.4s<sup>2</sup>,{'3': 0.885},1289 ,1814 ,19.0,,15.00 ,Scandium,"[1, 2, 3]",0.28,,,29 ,"{'3': {'VI': {'': {'crystal_radius': 0.885, 'ionic_radius': 0.745}}, 'VIII': {'': {'crystal_radius': 1.01, 'ionic_radius': 0.87}}}}",0.05  (under pressure),16 ,2.15,,,1.36,74 ,1.641,49.0,"[6.56149, 12.79977, 24.756839, 73.4894, 91.95, 110.68, 137.99, 158.08, 180.03, 225.18, 249.798, 687.36, 757.7, 833.2, 926.5, 1008.6, 1093.5, 1213.1, 1287.957, 5674.9037, 6033.7542]",0.1882,"[2, 3]",{'Sc-45': -220.2}
21,Ti,47.867,22,"{'1s': -177.276643, '2p': -16.285339, '2s': -19.457901, '3d': -0.17001000000000002, '3p': -1.422947, '3s': -2.258007, '4s': -0.167106}",1.4,1.76,3560 ,716 ,110 ,8.6 ,[4],,4507 ,about 40 ,[Ar].3d<sup>2</sup>.4s<sup>2</sup>,"{'2': 1.0, '3': 0.81, '4': 0.745}",1619 ,1941 ,51.0,6.0,10.64 ,Titanium,"[-1, 2, 3, 4]",0.32,,,44 ,"{'2': {'VI': {'': {'crystal_radius': 1.0, 'ionic_radius': 0.86}}}, '3': {'VI': {'': {'crystal_radius': 0.81, 'ionic_radius': 0.67}}}, '4': {'IV': {'': {'crystal_radius': 0.56, 'ionic_radius': 0.42}}, 'V': {'': {'crystal_radius': 0.65, 'ionic_radius': 0.51}}, 'VI': {'': {'crystal_radius': 0.745, 'ionic_radius': 0.605}}, 'VIII': {'': {'crystal_radius': 0.88, 'ionic_radius': 0.74}}}}",0.40 ,22 ,2.11,4140 ,970,1.54,116 ,1.462,52.0,"[6.82812, 13.5755, 27.49171, 43.26717, 99.299, 119.533, 140.68, 170.5, 192.1, 215.92, 265.07, 291.5, 787.67, 864.0, 944.5, 1042.5, 1130.2, 1220.3, 1346.3, 1425.257, 6249.0226, 6625.8073]",0.075545,"[2, 3, 4]","{'Ti-47': 302.1, 'Ti-49': 247.11}"
22,V,50.9415,23,"{'1s': -195.224014, '2p': -18.435189, '2s': -21.815346, '3d': -0.20463399999999998, '3p': -1.610516, '3s': -2.526904, '4s': -0.17596799999999999}",1.35,1.71,3680 ,628 ,160 ,8.4 ,[5],,6110 ,20 ,[Ar].3d<sup>3</sup>.4s<sup>2</sup>,"{'2': 0.93, '3': 0.78, '4': 0.72, '5': 0.68}",1497 ,2183 ,54.0,7.0,8.32 ,Vanadium,"[-1, 1, 2, 3, 4, 5]",0.37,61 ,,47 ,"{'2': {'VI': {'': {'crystal_radius': 0.93, 'ionic_radius': 0.79}}}, '3': {'VI': {'': {'crystal_radius': 0.78, 'ionic_radius': 0.64}}}, '4': {'V': {'': {'crystal_radius': 0.67, 'ionic_radius': 0.53}}, 'VI': {'': {'crystal_radius': 0.72, 'ionic_radius': 0.58}}, 'VIII': {'': {'crystal_radius': 0.86, 'ionic_radius': 0.72}}}, '5': {'IV': {'': {'crystal_radius': 0.495, 'ionic_radius': 0.355}}, 'V': {'': {'crystal_radius': 0.6000000000000001, 'ionic_radius': 0.46}}, 'VI': {'': {'crystal_radius': 0.68, 'ionic_radius': 0.54}}}}",5.40 ,31 ,2.07,4560 ,628,1.63,128 ,1.347,55.0,"[6.746187, 14.634, 29.3111, 46.709, 65.28165, 128.125, 150.72, 173.55, 206.0, 230.5, 254.8, 308.5, 336.274, 896.0, 977.2, 1062.9, 1165.2, 1258.9, 1354.2, 1486.7, 1569.656, 6851.3109, 7246.1226]",0.527662,"[2, 3, 4, 5]","{'V-50': 210.4, 'V-51': -52.1}"
23,Cr,51.9961,24,"{'1s': -213.881191, '2p': -20.526273, '2s': -24.113457, '3d': -0.11812299999999999, '3p': -1.65423, '3s': -2.649085, '4s': -0.150445}",1.4,1.6600000000000001,2944 ,1120 ,160 ,4.9 ,"[3, 6]",,7140 ,12.7 ,[Ar].3d<sup>5</sup>.4s<sup>1</sup>,{'2': 0.9400000000000001},764 ,2180 ,57.0,8.5,7.23 ,Chromium,"[-2, -1, 1, 2, 3, 4, 5, 6]",0.21,,,115 ,"{'2': {'VI': {'Low Spin': {'crystal_radius': 0.87, 'ionic_radius': 0.73}, 'High Spin': {'crystal_radius': 0.9400000000000001, 'ionic_radius': 0.8}}}, '3': {'VI': {'': {'crystal_radius': 0.755, 'ionic_radius': 0.615}}}, '4': {'IV': {'': {'crystal_radius': 0.55, 'ionic_radius': 0.41000000000000003}}, 'VI': {'': {'crystal_radius': 0.6900000000000001, 'ionic_radius': 0.55}}}, '5': {'IV': {'': {'crystal_radius': 0.485, 'ionic_radius': 0.34500000000000003}}, 'VI': {'': {'crystal_radius': 0.63, 'ionic_radius': 0.49}}, 'VIII': {'': {'crystal_radius': 0.71, 'ionic_radius': 0.5700000000000001}}}, '6': {'IV': {'': {'crystal_radius': 0.4, 'ionic_radius': 0.26}}, 'VI': {'': {'crystal_radius': 0.58, 'ionic_radius': 0.44}}}}",,94 ,2.06,5940 ,1060,1.66,279 ,1.2850000000000001,58.0,"[6.76651, 16.486305, 30.959, 49.16, 69.46, 90.6349, 160.29, 184.76, 209.5, 244.5, 270.8, 296.7, 354.7, 384.163, 1011.6, 1097.2, 1188.0, 1294.8, 1394.5, 1495.1, 1634.1, 1721.183, 7481.8628, 7894.7992]",0.6758411999999999,"[2, 3, 4, 5, 6]",{'Cr-53': -150.5}
24,Mn,54.938045,25,"{'1s': -233.696912, '2p': -23.066297, '2s': -26.866646, '3d': -0.26654, '3p': -1.99145, '3s': -3.076637, '4s': -0.191136}",1.4,1.6099999999999999,2334 ,196 ,120 ,21.7 ,"[2, 4, 7]",,7470 ,144 ,[Ar].3d<sup>5</sup>.4s<sup>2</sup>,"{'2': 0.97, '3': 0.785, '4': 0.67, '5': 0.47000000000000003, '6': 0.395, '7': 0.6000000000000001}",815 ,1519 ,60.0,6.0,7.35 ,Manganese,"[-3, -2, -1, 1, 2, 3, 4, 5, 6, 7]",,,,,"{'2': {'IV': {'High Spin': {'crystal_radius': 0.8, 'ionic_radius': 0.66}}, 'V': {'High Spin': {'crystal_radius': 0.89, 'ionic_radius': 0.75}}, 'VI': {'Low Spin': {'crystal_radius': 0.81, 'ionic_radius': 0.67}, 'High Spin': {'crystal_radius': 0.97, 'ionic_radius': 0.8300000000000001}}, 'VII': {'High Spin': {'crystal_radius': 1.04, 'ionic_radius': 0.9}}, 'VIII': {'': {'crystal_radius': 1.1, 'ionic_radius': 0.96}}}, '3': {'V': {'': {'crystal_radius': 0.72, 'ionic_radius': 0.58}}, 'VI': {'Low Spin': {'crystal_radius': 0.72, 'ionic_radius': 0.58}, 'High Spin': {'crystal_radius': 0.785, 'ionic_radius': 0.645}}}, '4': {'IV': {'': {'crystal_radius': 0.53, 'ionic_radius': 0.39}}, 'VI': {'': {'crystal_radius': 0.67, 'ionic_radius': 0.53}}}, '5': {'IV': {'': {'crystal_radius': 0.47000000000000003, 'ionic_radius': 0.33}}}, '6': {'IV': {'': {'crystal_radius': 0.395, 'ionic_radius': 0.255}}}, '7': {'IV': {'': {'crystal_radius': 0.39, 'ionic_radius': 0.25}}, 'VI': {'': {'crystal_radius': 0.6000000000000001, 'ionic_radius': 0.46}}}}",,7.8 ,2.05,5150 ,,1.55,198 ,1.292,61.0,"[7.434038, 15.639990000000001, 33.668, 51.21, 72.41, 95.604, 119.203, 195.5, 221.89, 248.6, 286.1, 314.4, 343.6, 402.95, 435.172, 1133.7, 1224.1, 1320.3, 1430.9, 1537.2, 1643.2, 1788.7, 1879.873, 8140.7872, 8571.9488]",-0.52,"[2, 3, 4, 7]",{'Mn-55': 330.1}
